CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
CGD29A.PIN.6,CGD29,0
CGD29A.PIN.16,CGD29,0
CGD29A.PIN.14,CGD29,0
CGD30A.BLU.XS,CGD30,0
CGD30A.BLU.XL,CGD30,0
CGD30A.BLU.S,CGD30,0
CGD30A.BLU.M,CGD30,0
CGD30A.BLU.L,CGD30,0
CGD31A.BLU.XL,CGD31,0
CGD31A.BLU.S,CGD31,0
CGD31A.BLU.M,CGD31,0
CGD31A.BLU.L,CGD31,0
CGD32A.RED.XS,CGD32,0
CGD32A.RED.S,CGD32,0
CGD32A.RED.M,CGD32,0
CGD32A.RED.L,CGD32,0
CGD33.BLA.8,CGD33,0
CGD33.BLA.7,CGD33,0
CGD33.BLA.6,CGD33,0
CGD33.BLA.16,CGD33,0
CGD33.BLA.14,CGD33,0
CGD33.BLA.12,CGD33,0
CGD33.BLA.10,CGD33,0
CGD37A.BLA.XS,CGD37,10
CGD37A.BLA.S,CGD37,20
CGD37A.BLA.M,CGD37,30
CGD37A.BLA.L,CGD37,40
CGL91B.PIN.XS,CGL91,0
CGL91B.PIN.XL,CGL91,0
CGL91B.PIN.S,CGL91,0
CGL91B.PIN.L,CGL91,0
CGL91B.PIN.M,CGL91,0
CGP55.CRE.7,CGP55,0
CGP55.CRE.6X,CGP55,0
CGP55.CRE.6,CGP55,0
CGP55.CRE.5,CGP55,0
CGP55.CRE.4,CGP55,0
CGP55.CRE.3,CGP55,0
F7297.CRE.XL,F7297,0
F7297.CRE.S,F7297,0
F7297.CRE.M,F7297,0
F7297.CRE.L,F7297,0
F7410.PUR.XL,F7410,0
F7410.PUR.XS,F7410,0
F7410.PUR.S,F7410,0
F7410.PUR.M,F7410,0
F7410.PUR.L,F7410,0
F7489.COR.XS,F7489,0
F7489.COR.S,F7489,0
F7489.COR.M,F7489,0
F7489.COR.L,F7489,0
F7527.GRA.8,F7527,0
F7527.GRA.7,F7527,0
F7527.GRA.6,F7527,0
F7527.GRA.16,F7527,0
F7527.GRA.14,F7527,0
F7527.GRA.12,F7527,0
F7527.GRA.10,F7527,0
F7529.BLA.XS,F7529,0
F7529.BLA.S,F7529,0
F7529.BLA.M,F7529,0
F7529.BLA.L,F7529,0
F7623.LAV.XS,F7623,0
F7623.LAV.S,F7623,0
F7623.LAV.M,F7623,0
F7623.LAV.L,F7623,0
F7625.PUR.XS,F7625,0
F7625.PUR.S,F7625,0
F7625.PUR.M,F7625,0
F7625.PUR.L,F7625,0
F7629.COR.XS,F7629,0
F7629.COR.S,F7629,0
F7629.COR.M,F7629,0
F7629.COR.L,F7629,0
F7631.LAV.XS,F7631,0
F7631.LAV.S,F7631,0
F7631.LAV.M,F7631,0
F7631.LAV.L,F7631,0
CGP61.WHI.7,CGP61,0
CGP61.WHI.6X,CGP61,0
CGP61.WHI.6,CGP61,0
CGP61.WHI.5,CGP61,0
CGP61.WHI.4,CGP61,0
CGP61.WHI.3,CGP61,0
CGP71.PIN.6X,CGP71,0
CGP71.PIN.5,CGP71,0
CGP71.PIN.4,CGP71,0
CGP71.PIN.3,CGP71,0
CGP71.PIN.7,CGP71,0
CGP71.PIN.6,CGP71,0
CGP73.PIN.7,CGP73,0
CGP73.PIN.6,CGP73,0
CGP73.PIN.4,CGP73,0
CGP73.PIN.3,CGP73,0
CGP73.PIN.6X,CGP73,0
CGP73.PIN.5,CGP73,0
CHC97.PUR.XS,CHC97,0
CHC97.PUR.XL,CHC97,0
CHC97.PUR.S,CHC97,0
CHC97.PUR.M,CHC97,0
CHC97.PUR.L,CHC97,0
CHD51A.PCH.8,CHD51,0
CHD51A.PCH.7,CHD51,0
CHD51A.PCH.16,CHD51,0
CHD51A.PCH.14,CHD51,0
CHD51A.PCH.12,CHD51,0
CHD51A.PCH.6,CHD51,0
CHD51A.PCH.10,CHD51,0
CHD53A.PRI.12,CHD53,0
CHD53A.PRI.6,CHD53,0
CHD53A.PRI.14,CHD53,0
CHD53A.PRI.8,CHD53,0
CHD53A.PRI.7,CHD53,0
CHD53A.PRI.10,CHD53,0
CHD53A.PRI.16,CHD53,0
CHG66A.TUR.8,CHG66,0
CHG66A.TUR.16,CHG66,0
CHG66A.TUR.12,CHG66,0
CHG66A.TUR.7,CHG66,0
CHG66A.TUR.6,CHG66,0
CHG66A.TUR.14,CHG66,0
CHG66A.TUR.10,CHG66,0
F7633.COR.XS,F7633,0
F7633.COR.S,F7633,0
F7633.COR.M,F7633,0
F7633.COR.L,F7633,0
F7635.PUR.XS,F7635,0
F7635.PUR.S,F7635,0
F7635.PUR.M,F7635,0
F7635.PUR.L,F7635,0
F7667.CRE.XS,F7667,0
F7667.CRE.S,F7667,0
F7667.CRE.M,F7667,0
F7667.CRE.L,F7667,0
F7755.MUL.XL,F7755,0
F7755.MUL.S,F7755,0
F7755.MUL.M,F7755,0
F7755.MUL.L,F7755,0
F7759.PIN.XS,F7759,0
F7759.PIN.S,F7759,0
F7759.PIN.M,F7759,0
F7759.PIN.L,F7759,0
F8120.PRI.8,F8120,0
F8120.PRI.7,F8120,0
F8120.PRI.6,F8120,0
F8120.PRI.16,F8120,0
F8120.PRI.14,F8120,0
F8120.PRI.12,F8120,0
F8120.PRI.10,F8120,0
F8138.PIN.XS,F8138,0
F8138.PIN.S,F8138,0
F8138.PIN.M,F8138,0
F8138.PIN.L,F8138,0
F8158.TUR.8,F8158,0
F8158.TUR.7,F8158,0
F8158.TUR.6,F8158,0
