CatalogEntryUpdate
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Available,Delete
FHR73-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Black",,,,1,1,1,0
FHR74-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Light Blond",,,,1,1,1,0
FHR75-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Blond",,,,1,1,1,0
FHR76-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Light Red",,,,1,1,1,0
FHR77-R70A,ItemBean,06,USD,48,RED MD STRAIGHT WIG,"Medium-length, Straight, Red",,,,1,1,1,0
FHR78-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Brown",,,,1,1,1,0
FHR79-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Dark Brown",,,,1,1,1,0
FHR80-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Black",,,,1,1,1,0
FHR81-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Bangs, Light Blond",,,,1,1,1,0
FHR82-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Bangs, Blond",,,,1,1,1,0
FHR83-R70A,ItemBean,06,USD,48,STRWBRRY MD STRT W BANG,"Medium-length, Straight, Bangs, Light Red",,,,1,1,1,0
FHR84-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Bangs, Red",,,,1,1,1,0
FHR85-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Bangs, Brown",,,,1,1,1,0
FHR86-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Straight, Bangs, Dark Brown",,,,1,1,1,0
FHR87-R70A,ItemBean,06,USD,48,BLK MD STRT W BANG WIG,"Medium-length, Straight, Bangs, Black",,,,1,1,1,0
FHR88-R70A,ItemBean,06,USD,48,PLATINUM MD WAVY WIG,"Medium-length, Wavy, Light Blond",,,,1,1,1,0
FHR89-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Wavy, Blond",,,,1,1,1,0
FHR90-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Wavy, Light Red",,,,1,1,1,0
FHR91-R70A,ItemBean,06,USD,48,RED MD WAVY WIG,"Medium-length, Wavy, Red",,,,1,1,1,0
FHR92-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Wavy, Brown",,,,1,1,1,0
FHR93-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Wavy, Dark Brown",,,,1,1,1,0
FHR94-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Wavy, Black",,,,1,1,1,0
FHR95-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Light Blond",,,,1,1,1,0
FHR96-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Blond",,,,1,1,1,0
FHR98-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Light Red",,,,1,1,1,0
FHR99-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Red",,,,1,1,1,0
FHT00-R70A,ItemBean,06,USD,48,BROWN MD CURLY WIG,"Medium-length, Curly, Brown",,,,1,1,1,0
FHT01-R70A,ItemBean,06,USD,48,DK BROWN MD CURLY WIG,"Medium-length, Curly, Dark Brown",,,,1,1,1,0
FHT02-R70A,ItemBean,06,USD,48,BLACK MD CURLY WIG,"Medium-length, Curly, Black",,,,1,1,1,0
FHT03-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Light Blond",,,,1,1,1,0
FHT04-R70A,ItemBean,06,USD,48,BLND MD CRLY W BANG WIG,"Medium-length, Curly, Bangs, Blond",,,,1,1,1,0
FHT05-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Light Red",,,,1,1,1,0
