CatalogEntry
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Delete
11001-01214,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-01226,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-01316,ItemBean,unassigned,USD,14,,,,,,,1,0
11001-01317,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-01331,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-01332,ItemBean,05,USD,4,,,,,,,1,0
11001-01344,ItemBean,05,USD,4,,,,,,,1,0
11001-01345,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-01358,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-01359,ItemBean,05,USD,4,,,,,,,1,0
11001-01363,ItemBean,05,USD,14,,,,,,,1,0
11001-01364,ItemBean,05,USD,8,,,,,,,1,0
11001-01376,ItemBean,unassigned,USD,5,,,,,,,1,0
11001-01377,ItemBean,05,USD,3,,,,,,,1,0
11001-01378,ItemBean,05,USD,5,,,,,,,1,0
11001-01381,ItemBean,05,USD,10,,,,,,,1,0
11001-01382,ItemBean,05,USD,4,,,,,,,1,0
11001-01383,ItemBean,05,USD,3,,,,,,,1,0
11001-01384,ItemBean,05,USD,3,,,,,,,1,0
11001-01385,ItemBean,05,USD,3,,,,,,,1,0
11001-01387,ItemBean,05,USD,2,,,,,,,1,0
11001-01388,ItemBean,05,USD,2,,,,,,,1,0
11001-01435,ItemBean,unassigned,USD,7,,,,,,,1,0
11001-01536,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-01537,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-01538,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-01539,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-01540,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-01548,ItemBean,05,USD,3,,,,,,,1,0
11001-01549,ItemBean,05,USD,2,,,,,,,1,0
11001-01550,ItemBean,05,USD,4,,,,,,,1,0
11001-01551,ItemBean,05,USD,6,,,,,,,1,0
11001-01552,ItemBean,05,USD,3,,,,,,,1,0
11001-01553,ItemBean,05,USD,3,,,,,,,1,0
11001-01554,ItemBean,05,USD,4,,,,,,,1,0
11001-02294,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-02297,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-02301,ItemBean,unassigned,USD,14,,,,,,,1,0
11001-02306,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-02329,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-02342,ItemBean,05,USD,4,,,,,,,1,0
11001-02354,ItemBean,05,USD,4,,,,,,,1,0
11001-05557,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-05687,ItemBean,05,USD,10,,,,,,,1,0
11001-05688,ItemBean,05,USD,10,,,,,,,1,0
