CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
W5110,FPStoreGifts,546
W5110,Age5Plus,45
W5110,FPStoreGiftsGirls,115
W5110,FPStoreGiftsunder50,425
W5116,SET_COMPONENTS,0
W5116,Clearance,183
W5116,FPStoreSale,131
W5116,FPStoreBrands,631
W5116,Age4to5Years,52
W5116,Age2to3Years,102
W5116,Age3to4Years,202
W5116,BrandsDisney,20
W5116,Minnie,10
W5116,CategoryFigures,148
W5116,FPStoreBMSM,393
W5116,FPStoreCategory,474
W5116,ClearancePlaysetsFigures,21
W5116,CategoryFigsPlaysets,206
W5116,70upto70,230
W5116,FPStoreAge,381
W5116,Sale,131
W5116,Age5Plus,42
W5116,FPStoreGifts,282
W5116,FPStoreGiftsGirls,104
W5116,FPStoreGiftsunder50,193
W5121,Clearance,109
W5121,FPStoreBrands,640
W5121,Age4to5Years,65
W5121,Age2to3Years,115
W5121,Age3to4Years,215
W5121,FPStoreSale,182
W5121,BrandsDisney,34
W5121,Minnie,19
W5121,CategoryPlaysets,105
W5121,FPStoreBMSM,406
W5121,FPStoreCategory,201
W5121,ClearancePlaysetsFigures,60
W5121,FPStoreAge,548
W5121,Sale,182
W5121,FPStoreGifts,512
W5121,Age5Plus,55
W5121,FPStoreGiftsGirls,113
W5121,FPStoreGiftsunder50,421
W5262,csr_nla_,0
W5264,csr_nla_,0
W9741,csr_nla_,0
55,Age2to3Years,241
55,Age12to24Month,252
W9856,csr_nla_,0
W9857,csr_nla_,0
W9860,csr_nla_,0
W9894,Age12to24Month,315
W9894,csr_nla_,0
W9953,csr_nla_,0
Y9361,SET_COMPONENTS,0
Y9361,Age12to24Month,114
Y9361,Age2to3Years,244
Y9361,Age5Plus,354
Y9361,Age3to4Years,361
Y9361,Age4to5Years,360
Y9361,FPStoreBrands,381
Y9361,FPStoreSale,89
Y9361,CategoryFigures,96
Y9361,ClearanceLittlePeople,17
Y9361,FPStoreCategory,107
Y9361,ClearancePlaysetsFigures,40
Y9361,Disney,22
Y9361,CategoryFigsPlaysets,170
Y9361,CategoryFigsSub,88
Y9361,FPStoreAge,494
Y9361,Sale,89
Y9361,BrandsLittlePeople,99
Y9361,FPStoreGifts,600
Y9361,FPStoreBMSM,156
Y9361,FPStoreGiftsunder50,234
Y9362,SET_COMPONENTS,0
Y9362,Age12to24Month,115
Y9362,Age2to3Years,245
Y9362,Age5Plus,355
Y9362,Age3to4Years,362
Y9362,Age4to5Years,361
Y9362,CategoryFigures,97
Y9362,CategoryFigsPlaysets,171
Y9362,CategoryFigsSub,89
Y9362,csr_nla_,0
Y9362,BrandsLittlePeople,100
Y9365,csr_nla_,0
Y9849,csr_nla_,0
Y9854,Clearance,31
Y9854,Age6to12Month,93
Y9854,Age2to3Years,225
Y9854,Age12to24Month,227
Y9854,CategoryInteractive,30
Y9854,csr_nla_,0
Y9854,CategoryBabyToys,105
Y9861,csr_nla_,0
Y9861,Land,98
Y9914,csr_nla_,0
72011,SET_COMPONENTS,0
72011,Age6to12Month,96
72011,Age2to3Years,112
72011,Age12to24Month,230
72011,CategoryInteractive,32
72011,csr_nla_,0
72011,CategoryBabyToys,108
72819,SET_COMPONENTS,0
72819,csr_nla_,0
74522,BrandsPowerWheels,32
74522,FPStoreBMSM,330
74522,FPStoreBrands,355
74522,FPStoreCategory,420
74522,FPStoreAge,665
74522,FPStoreGifts,202
74777,FPStoreBrands,145
74777,BrandsPowerWheels,33
74777,FPStoreBMSM,331
74777,FPStoreCategory,421
74777,FPStoreGifts,201
74777,FPStoreAge,357
B4253,SET_COMPONENTS,0
B4253,csr_nla_,0
B4253,CATALOGTESTING_NOTFORDISPLAY,11
B5190,csr_nla_,0
B5191,SET_COMPONENTS,0
B5191,Age6to12Month,83
B5191,Age2to3Years,119
B5191,Age12to24Month,217
B5191,csr_nla_,0
B5191,CATALOGTESTING_NOTFORDISPLAY,12
B6312,FPStoreBrands,332
B6312,SET_COMPONENTS,0
B6312,Age5Plus,5
B6312,Age4to5Years,4
B6312,Age3to4Years,203
B6312,FPStoreBMSM,571
B6312,FPStoreCategory,14
B6312,CategoryPretendPlay,2
B6312,BrandsFPToys,6
B6312,Sports_Outdoor,3
B6312,BrandsFPBrand,10
B6312,FPStoreGifts,22
B6312,FPStoreAge,14
B6312,FPStoreGiftsBoys,12
B6312,FPStoreGiftsGirls,226
B6312,FPStoreGiftsunder50,163
B8507,FPStoreBrands,331
B8507,SET_COMPONENTS,0
B8507,Age2to3Years,165
B8507,Age4to5Years,3
B8507,Age3to4Years,202
B8507,FPStoreBMSM,569
B8507,FPStoreCategory,13
B8507,CategoryPretendPlay,1
B8507,topsellers,21
B8507,BrandsFPToys,5
B8507,Sports_Outdoor,2
B8507,BrandsFPBrand,11
B8507,Age5Plus,4
B8507,FPStoreGifts,21
B8507,FPStoreAge,13
B8507,FPStoreGiftsBoys,11
B8507,FPStoreGiftsGirls,224
B8507,FPStoreGiftsunder50,136
