CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BCP34,african-american-dolls,14
BCP34,dolls,34
BCP34,collectible-dolls-new,34
BCP34,whats-new,34
BDB45,fantasy-dolls,4
BDB45,Accessories,9
BDB45,african-american-dolls,15
BDB45,dolls,35
BDB45,collectible-dolls-new,35
BDB45,whats-new,35
BDG50,fantasy-dolls,5
BDG50,Accessories,10
BDG50,african-american-dolls,16
BDG50,dolls,36
BDG50,collectible-dolls-new,36
BDG50,whats-new,36
BDH74,fantasy-dolls,6
BDH74,Accessories,11
BDH74,african-american-dolls,17
BDH74,dolls,37
BDH74,gift-guide,1
BFW17,fantasy-dolls,7
BFW17,Accessories,12
BFW17,african-american-dolls,18
BFW17,fashion-dolls,1
BFW17,dolls,38
BFW17,gift-guide,2
BFW21,fantasy-dolls,8
BFW21,Accessories,13
BFW21,collectible-dolls,1
BFW21,fashion-dolls,2
BFW21,dolls,39
BFW21,gift-guide,3
BHF96,fantasy-dolls,9
BHF96,Accessories,14
BHF96,collectible-dolls,2
BHF96,fashion-dolls,3
BHF96,dolls,40
BHF96,gift-guide,4
BLR56,2014-collection,0
BLR56,fantasy-dolls,10
BLR56,Accessories,15
BLR56,collectible-dolls,3
BLR56,fashion-dolls,4
BLR56,dolls,41
BLR56,gift-guide,5
BLR57,2014-collection,0
BLR57,fantasy-dolls,11
BLR57,Accessories,16
BLR57,collectible-dolls,4
BLR57,fashion-dolls,5
BLR57,dolls,42
BLR57,gift-guide,6
BLR58,2014-collection,0
BLR58,fantasy-dolls,12
BLR58,Accessories,17
BLR58,collectible-dolls,5
BLR58,fashion-dolls,6
BLR58,dolls,43
BLR58,gift-guide,7
CBD30,fantasy-dolls,13
CBD30,Accessories,18
CBD30,collectible-dolls,6
CBD30,fashion-dolls,7
CBD30,dolls,44
CBD30,gift-guide,8
1806,barbie-doll-mod-fashions,8
BCN38,fantasy-dolls,14
BCN38,Accessories,19
BCN38,collectible-dolls,7
BCN38,fashion-dolls,8
BCN38,dolls,45
BCN38,gift-guide,9
BCP19,fantasy-dolls,15
BCP19,Accessories,20
BCP19,collectible-dolls,8
BCP19,fashion-dolls,9
BCP19,dolls,46
BCP19,gift-guide,10
BCP22,fantasy-dolls,16
BCP22,clothing,1
BCP22,collectible-dolls,9
BCP22,fashion-dolls,10
BCP22,dolls,47
BCP22,gift-guide,11
BCP41,fantasy-dolls,17
BCP41,clothing,2
BCP41,collectible-dolls,10
BCP41,fashion-dolls,11
BCP41,dolls,48
BCP41,gift-guide,12
BCP77,the-wizard-of-oz-collection,2
BCP77,bc-pop-culture,5
BCP77,2014-hollywood-pop-culture,9
BCP77,2014-collection,22
BCP77,dollightful-deal-woz,0
BCP77,wizard-of-oz-dolls,2
BCP77,special-offers,7
BCP77,barbie-dolls,51
